Timestamp,Experiment,IS,FID,CLIP,HPSv2,LPIPS,SSIM
12-06-2024--10-14-21,bg_shopify_car,1.622443437576294,-1,28.91350173950196,0.269891357421875,0.4375656425952911,0.1980539568467065
12-06-2024--10-15-28,bg_ours_products,1.6964404582977295,-1,33.48247146606445,0.268048095703125,0.4299596481025219,0.2209589014935772
12-06-2024--10-16-52,bg_ours_interactive_products,1.7886621952056885,-1,33.10740280151367,0.263726806640625,0.4167971819639205,0.2445062079466879
12-06-2024--10-18-02,bg_replaceanything_products,1.812757134437561,-1,30.97678565979004,0.2364013671875,0.2424281645566225,0.4225143590942025
12-06-2024--10-19-13,bg_shopify_products,1.766444206237793,-1,30.430355072021484,0.22681884765625,0.3413769859820604,0.3803467857185751
12-06-2024--10-21-31,bg_ours_overall,3.2233898639678955,-1,33.70981979370117,0.2884297688802083,0.4030283284684022,0.1515023929615078
12-06-2024--10-23-45,bg_ours_interactive_overall,3.283194065093994,-1,33.43099594116211,0.2919047037760416,0.3877086125314236,0.1652392309741117
12-06-2024--10-26-00,bg_replaceanything_overall,3.4575839042663574,-1,31.069555282592773,0.2654839877424569,0.2439039874950359,0.3638958573855202
12-06-2024--10-28-23,bg_shopify_overall,3.4206504821777344,-1,30.264368057250977,0.2470540364583333,0.4354450530062119,0.1792795917475208
12-06-2024--10-29-28,comp_ours_bikes,1.5109453201293943,-1,36.05779647827149,0.285528564453125,0.7569891110062599,-0.272839374281466
12-06-2024--10-30-25,comp_tficon_bikes,1.5838968753814695,-1,34.28053665161133,0.26888427734375,0.7431085109710693,-0.2229444160126149
12-06-2024--10-31-29,comp_anydoor_bikes,1.5314358472824097,-1,30.80366516113281,0.230694580078125,0.709159317612648,-0.0673395001329481
12-06-2024--10-32-32,comp_ours_cars,1.4707306623458862,-1,34.97896957397461,0.30997314453125,0.6721317276358605,-0.0071014843648299
12-06-2024--10-33-34,comp_tficon_cars,1.4331259727478027,-1,33.12092208862305,0.28746337890625,0.6789269462227822,-0.0369100932381115
12-06-2024--10-34-39,comp_anydoor_cars,1.5126841068267822,-1,27.63654136657715,0.229241943359375,0.6539715647697448,-0.019267021305859
12-06-2024--10-36-07,comp_ours_products,1.798786759376526,-1,33.955440521240234,0.26650390625,0.641852343082428,0.0174808506213594
12-06-2024--10-37-24,comp_tficon_products,1.7221250534057615,-1,31.987178802490234,0.238287353515625,0.6466311737895012,0.0120233794208616
12-06-2024--10-40-43,comp_ours_overall,3.522401809692383,-1,34.99740219116211,0.287335205078125,0.699090466896693,-0.1032666362128414
12-06-2024--10-43-00,comp_tficon_overall,3.582672119140625,-1,33.147666931152344,0.2649068196614583,0.6963444262742996,-0.0788449178411004
12-06-2024--10-45-21,comp_anydoor_overall,3.183135747909546,-1,29.29788398742676,0.224432373046875,0.6518297115961711,-0.0071622717708426
12-06-2024--11-25-53,comp_anydoor_products,1.6746511459350586,-1,29.45345497131348,0.213360595703125,0.6208083465695381,0.0058341228868812
17-06-2024--12-54-46,bg_ours_ablation_bikes,1.3073532581329346,-1,34.10990905761719,0.29527587890625,0.5019304767251015,0.0355932412669062
17-06-2024--12-56-26,bg_ours_ablation_cars,1.6500316858291626,-1,33.25062942504883,0.292156982421875,0.3394130244851112,0.1450328247679863
17-06-2024--12-58-08,bg_ours_ablation_products,1.7166597843170166,-1,31.94107437133789,0.26273193359375,0.4381423272192478,0.2028745665214955
17-06-2024--13-01-18,bg_ours_ablation_overall,3.3396925926208496,-1,33.10053634643555,0.2833882649739583,0.4264952761431535,0.1278335441854627
17-06-2024--13-03-04,comp_ours_ablation_bikes,1.5904998779296875,-1,34.987701416015625,0.2794189453125,0.752930811047554,-0.269754512887448
17-06-2024--13-04-37,comp_ours_ablation_cars,1.524864912033081,-1,34.366634368896484,0.292462158203125,0.6740225613117218,-0.0045533824450103
17-06-2024--13-06-14,comp_ours_ablation_products,1.7924611568450928,-1,32.73564529418945,0.251983642578125,0.6456571683287621,0.016567477514036
17-06-2024--13-09-47,comp_ours_ablation_overall,3.685297727584839,-1,34.029998779296875,0.27462158203125,0.7013423129916191,-0.1026070195730426
17-06-2024--13-16-12,ours_ablation_bench_wo_replace,8.024850845336914,-1,30.728853225708008,0.23048989066864525,0.6105967623561455,0.00959949648965738
